NM_MUNICIPIO,DS_CARGO,NR_VOTAVEL,NM_URNA_CANDIDATO,QT_VOTOS_NOMINAIS
CUIABA,Vereador,44065,MARIMAX DA SILVA ALMEIDA,812
CUIABA,Vereador,44100,MARIA RITA BRANDÃO PEREIRA,289
CUIABA,Vereador,44111,MARCIA CRISTINA DA SILVA,500
CUIABA,Vereador,44123,DILEMARIO DO VALE ALENCAR,3370
CUIABA,Vereador,44190,LAUDICÃRIO AGUIAR MACHADO,171
CUIABA,Vereador,44200,ANDREILZA GALDINO COSTA,287
CUIABA,Vereador,44222,LUIZ FERNANDO GUIMARÃES DE AMORIM,2784
CUIABA,Vereador,44256,ILIZETH LUIZA COENGA FERREIRA,31
CUIABA,Vereador,44303,GABRIEL CESAR RICAS LEITE,798
CUIABA,Vereador,44321,DAOUD MOHD KHAMIS JABER ABDALLAH,2427
CUIABA,Vereador,44333,LUCIANA JUCÃ DE OLIVEIRA,595
CUIABA,Vereador,44400,DOMINIQUE MOURA BIANCARDINI,617
CUIABA,Vereador,44444,MICHELLY DE ALENCAR SANTOS NEVES,4514
CUIABA,Vereador,44456,CLAUDINEY DE OLIVEIRA VIEIRA,308
CUIABA,Vereador,44500,EDLEUSA AFONSO DE MESQUITA FILGUEIRAS,1078
CUIABA,Vereador,44555,ANA PAULA LEIRIA SILVA,140
CUIABA,Vereador,44567,LEONARDO GONZALES DE OLIVEIRA RIBEIRO,1480
CUIABA,Vereador,44600,ALEXSSANDRO MIRANDA FRAGA,41
CUIABA,Vereador,44650,EDUARDO TADEU PEIXOTO,182
CUIABA,Vereador,44666,RUSTISON PEDROSO,430
CUIABA,Vereador,44678,GUILHERME OLIVEIRA DE ALMEIDA,784
CUIABA,Vereador,44777,ACHILLE SOTIRIOS LIAMBOS NETO,310
CUIABA,Vereador,44789,MARCELO EDUARDO BUSSIKI RONDON,2344
CUIABA,Vereador,44800,ANTÃNIO MARCOS DERMINIO,178
CUIABA,Vereador,45000,THIAGO HENRIQUE MARQUES DOS ANJOS,209
CUIABA,Vereador,45001,LEONARDO RODRIGUES DOMICIANO,49
CUIABA,Vereador,45008,PAULO DE CAMPOS BORGES JUNIOR,1348
CUIABA,Vereador,45023,MARIA AUXILIADORA DA COSTA SPADINI,46
CUIABA,Vereador,45045,RENIVALDO ALVES DO NASCIMENTO,3262
CUIABA,Vereador,45123,JULIETE GOMES DA SILVA ANGELIM,113
CUIABA,Vereador,45222,ROGERIO RAMOS VARANDA,1784
CUIABA,Vereador,45456,JESSICA BRUNA QUEIROZ DE ARAUJO,99
CUIABA,Vereador,45500,MARIA DO CARMO MOREIRA OLIVEIRA AVALONE,4347
CUIABA,Vereador,45555,DIANA CATARINA SOUZA,231
CUIABA,Vereador,45666,RONAN OLIVEIRA ITACARAMBY FILHO,6
CUIABA,Vereador,45777,CARINE CEPIL GOMES DA COSTA,161
CUIABA,Vereador,45888,RODRIGO OLIVEIRA DE ARRUDA E SA,3068
CUIABA,Vereador,50000,JOSÃ DE OLIVEIRA LIMA,249
CUIABA,Vereador,50050,CAROLINA GUIMARÃES SANTOS,180
